Country,Continent,Region,Location_details,Language,Language_iso3,Culture,Genre,Year,Decade,Url,Audio,Speech,Melspec,Chroma,Melodia
Ecuador,South America,South America,Ecuador,Spanish,spa,,Latin|World,1958.0,1950s,http://www.folkways.si.edu/benitez-valencia-trio/tunda-tunda/latin-world/music/track/smithsonian,15577_SampleAudio.wav,Speech/15577_SampleAudio.csv,Melspec/15577_SampleAudio.csv,Chroma/15577_SampleAudio.csv,Melodia/15577_SampleAudio.csv
Ecuador,South America,South America,Ecuador,Spanish,spa,,Latin|World,1958.0,1950s,http://www.folkways.si.edu/benitez-valencia-trio/romance-de-mi-destino/latin-world/music/track/smithsonian,15579_SampleAudio.wav,Speech/15579_SampleAudio.csv,Melspec/15579_SampleAudio.csv,Chroma/15579_SampleAudio.csv,Melodia/15579_SampleAudio.csv
Ecuador,South America,South America,Ecuador,Spanish,spa,,Latin|World,1958.0,1950s,http://www.folkways.si.edu/benitez-valencia-trio/el-chulla-quiteno/latin-world/music/track/smithsonian,15580_SampleAudio.wav,Speech/15580_SampleAudio.csv,Melspec/15580_SampleAudio.csv,Chroma/15580_SampleAudio.csv,Melodia/15580_SampleAudio.csv
Ecuador,South America,South America,Ecuador,Spanish,spa,,Latin|World,1958.0,1950s,http://www.folkways.si.edu/benitez-valencia-trio/longuita-mia/latin-world/music/track/smithsonian,15584_SampleAudio.wav,Speech/15584_SampleAudio.csv,Melspec/15584_SampleAudio.csv,Chroma/15584_SampleAudio.csv,Melodia/15584_SampleAudio.csv
Ecuador,South America,South America,Ecuador,Spanish,spa,,Latin|World,1958.0,1950s,http://www.folkways.si.edu/benitez-valencia-trio/vasija-de-barro/latin-world/music/track/smithsonian,15585_SampleAudio.wav,Speech/15585_SampleAudio.csv,Melspec/15585_SampleAudio.csv,Chroma/15585_SampleAudio.csv,Melodia/15585_SampleAudio.csv
Trinidad and Tobago,South America,South America,Trinidad and Tobago,,,,Caribbean|World,1962.0,1960s,http://www.folkways.si.edu/mighty-bomber/gloria/caribbean-world/music/track/smithsonian,15595_SampleAudio.wav,Speech/15595_SampleAudio.csv,Melspec/15595_SampleAudio.csv,Chroma/15595_SampleAudio.csv,Melodia/15595_SampleAudio.csv
Trinidad and Tobago,South America,South America,Trinidad and Tobago,,,,Caribbean|World,1959.0,1950s,http://www.folkways.si.edu/small-island-pride/banner-roll/caribbean-world/music/track/smithsonian,15599_SampleAudio.wav,Speech/15599_SampleAudio.csv,Melspec/15599_SampleAudio.csv,Chroma/15599_SampleAudio.csv,Melodia/15599_SampleAudio.csv
Jamaica,South America,South America,Jamaica,,,African Caribbean,Caribbean|World,1960.0,1960s,http://www.folkways.si.edu/cecil-lord-myrie-cecil-motherless-mitchell-and-james-convery/darling-im-starving-so/caribbean-world/music/track/smithsonian,15625_SampleAudio.wav,Speech/15625_SampleAudio.csv,Melspec/15625_SampleAudio.csv,Chroma/15625_SampleAudio.csv,Melodia/15625_SampleAudio.csv
Jamaica,South America,South America,Jamaica,,,African Caribbean,Caribbean|World,1960.0,1960s,http://www.folkways.si.edu/cecil-lord-myrie-cecil-motherless-mitchell-and-james-convery/kinsey-report/caribbean-world/music/track/smithsonian,15626_SampleAudio.wav,Speech/15626_SampleAudio.csv,Melspec/15626_SampleAudio.csv,Chroma/15626_SampleAudio.csv,Melodia/15626_SampleAudio.csv
Jamaica,South America,South America,Jamaica,,,African Caribbean,Caribbean|World,1960.0,1960s,http://www.folkways.si.edu/cecil-lord-myrie-cecil-motherless-mitchell-and-james-convery/spelling-song/caribbean-world/music/track/smithsonian,15628_SampleAudio.wav,Speech/15628_SampleAudio.csv,Melspec/15628_SampleAudio.csv,Chroma/15628_SampleAudio.csv,Melodia/15628_SampleAudio.csv
